word,phonetic,translation
a,ei,"第一個字母 A; 一個; 第一的\r\nart. [計] 累加器, 加法器, 地址, 振幅, 模擬, 區域, 面積, 彙編, 組件, 異步"
aardvark,'ɑ:dvɑ:k,n. 土豚
aback,ә'bæk,"adv. 向後, 朝後, 突然, 船頂風地"
abacus,'æbәkәs,n. 算盤\n[計] 算盤
abalone,æbә'lәuni,n. 鮑
abandon,ә'bændәn,"vt. 放棄, 拋棄, 遺棄, 使屈從, 沉溺, 放縱\nn. 放任, 無拘束, 狂熱"
abandoned,ә'bændәnd,"a. 被拋棄的, 無約束的, 恣意放蕩的"
abandonment,ә'bændәmәnt,"n. 放棄, 拋棄, 放縱\n[經] 委付, 廢棄, 放棄(採礦權)"
abase,ә'beis,"vt. 降低...的地位, 降低...的品格, 貶抑, 使謙卑"
abasement,ә'beismәnt,"n. 貶抑, 屈辱, 謙卑"
abash,ә'bæʃ,"vt. 使不安, 使羞愧, 使困窘"
abashed,ә'bæʃd,"a. 不安的, 窘迫的"
abate,ә'beit,"vt. 減少, 減輕, 減弱, 廢除, 打折扣\nvi. 減輕, 減弱, 減少, 失效, 被廢除"
abatement,ә'beitmәnt,"n. 減少, 減輕, 緩和, 折扣, 撤消, 中止\n[化] 廢料; 失效"
abattoir,'æbәtwɑ:,"n. 屠場, 角斗場\n[醫] 屠宰場"
abaya,ә'beijә,"n. 毛織物, (阿拉伯式)長袍"
abbe,'æbei,"n. 男修道院院長, 神父"
abbess,'æbes,n. 女修道院院長
abbey,'æbi,n. 大修道院
abbot,'æbәt,"n. 男修道院院長, 大寺院男住持"
abbreviate,ә'bri:vieit,"vt. 縮寫, 使...簡略, 縮短\nvi. 使用縮寫詞"
abbreviated,,"[計] 縮寫的, 短縮的, 簡寫的, 簡略的, 縮略的\n[醫] 減短的, 縮減的, 省略的"
abbreviation,ә.bri:vi'eiʃәn,"n. 縮寫詞, 縮寫, 縮短, 節略"
abdicate,'æbdikeit,"vt. 正式放棄\nvi. 退位, 退出, 辭職"
abdication,.æbdi'keiʃәn,"n. 遜位, 棄權, 辭職"
abdomen,'æbdәmen,n. 腹部\n[醫] 腹[部]
abdominal,æb'dɒminәl,"a. 腹部的, 有腹鰭的\n[醫] 腹[部]的"
abduct,æb'dʌkt,"vt. 誘拐, 綁架, 使外展\n[醫] 外展, 展"
abducted,,[法] 誘拐
abductee,",æbdʌk'ti:",n. 被綁架者
abduction,æb'dʌkʃәn,"n. 誘拐, 綁架, 外展\n[醫] 外展, 展"
abductor,æb'dʌktә,"n. 誘拐者, 綁架者, 外展肌\n[醫] 展肌, 外展肌"
abed,ә'bed,adv. 在床上
aberrant,æ'berәnt,"a. 偏離正路的, 偏離常軌的, 畸變的\n[化] 異常的"
aberration,æbә'reiʃәn,"n. 離開正路, 偏離, 畸變, 光行差, 心理失常, 色差\n[化] 光行差; 像差"
aberrational,,"離開軌道的, 越軌的, 脫離常規的"
abet,ә'bet,"vt. 教唆, 煽動, 慫恿, 幫助, 支持"
abeyance,ә'beiәns,"n. 中止, 暫擱, 停止, 歸屬待定\n[化] 潛態"
abhor,әb'hɒ:,"vt. 憎惡, 痛恨, 迴避, 拒絕"
abhorrence,әb'hɒrәns,"n. 厭惡, 痛恨"
abhorrent,әb'hɒrәnt,"a. 令人憎恨的, 可惡的, 厭惡的, 相抵觸的, 不一致的"
abide,ә'baid,"vi. 停留, 遵守, 居留, 繼續下去\nvt. 忍受, 經受, 屈從於"
abiding,ә'baidiŋ,"a. 永久的, 持久的, 不變的"
ability,ә'biliti,"n. 能力, 才幹\n[經] 能力, 才能"
abiotic,.eibai'ɒtik,"a. 無生命的, 非生物的\n[醫] 無生命的; 生活力缺失的"
abject,'æbdʒekt,"a. 絕望無助的, 可憐的, 糟透的, 卑鄙的, 自卑的\n[法] 卑鄙的, 卑下的, 可憐的"
abjection,æb'dʒekʃәn,"n. 卑鄙, 落魄, 拋棄, 驅逐"
abjectly,,"adv. (境況)低賤, 凄慘, 很可憐, 可鄙, 不自愛, 卑鄙, 卑下"
abjure,әb'dʒuә,"vt. 發誓斷絕, 公開放棄\n[法] 誓絕, 棄絕, 公開放棄"
ablate,æb'leit,"v. 切除, 腐蝕, 溶化掉, 燒蝕"
ablation,æb'leiʃәn,"n. 腐蝕, 切除, 燒蝕\n[化] 燒蝕"
ablative,'æblәtiv,a. 奪格的\nn. 奪格
ablaze,ә'bleiz,"a. 着火的, 閃亮的, 激昂的\nadv. 着火, 閃耀"
able,'eibl,"a. 能幹的, 能夠的"
ablution,ә'blu:ʃәn,"n. 洗澡, 洗禮, 齋戒沐浴\n[化] 洗凈; 洗凈液"
ably,'eibli,"adv. 能幹地, 精明強幹地"
abnegation,.æbni'geiʃәn,"n. 放棄, 捨棄, 克制"
abnormal,æb'nɒ:mәl,"a. 反常的, 不規則的, 變態的, 畸形的\nn. 畸形的人"
abnormality,.æbnɒ:'mæliti,"n. 反常, 畸形, 變態\n[化] 反常; 非正態性"
abnormally,,"adv. 不正常, 異常, (貶)不同尋常, 不規則, 變態, 反常"
aboard,ә'bɒ:d,"adv. 在船上, 在火車上, 在飛機上\nprep. 在...之上"
abode,ә'bәud,"n. 住所, 住處\nabide的過去式和過去分詞"
abolish,ә'bɒliʃ,"vt. 廢止, 革除, 消滅\n[經] 廢除, 取消, 裁撤"
abolishment,ә'bɒliʃmәnt,"n. 廢止, 革除, 消滅\n[法] 廢止, 廢除, 取消"
abolition,.æbәu'liʃәn,"n. 廢除, 廢奴運動\n[醫] 禁止, 消失"
abolitionism,.æbәu'liʃәnizәm,"n. 廢除主義, 廢奴主義\n[醫] 活體解剖禁止論"
abolitionist,.æbәu'liʃәnist,"n. 廢除主義者, 廢奴主義者"
abominable,ә'bɒminәbl,"a. 討厭的, 令人憎惡的"
abominably,ә'bɒminәbli,"adv. 可惡地, 討厭地, 極端地"
abomination,ә.bɒmi'neiʃәn,"n. 厭惡, 痛惡, 令人厭惡的事物"
aboriginal,.æbә'ridʒәnәl,"a. 原始的, 土著的\nn. 土著居民, 土生生物"
aborigine,,"n. 土著, 土著居民, 土人"
abort,ә'bɒ:t,"vi. 流產, 中途失敗\nvt. 使流產, 使失敗, 使中止"
aborted,ә'bɒ:tid,"a. 流產的, 中途失敗的"
abortifacient,ә.bɒ:ti'feiʃәnt,n. 墮胎藥\na. 墮胎的
abortion,ә'bɒ:ʃәn,"n. 流產, 墮胎, 失敗, 夭折, 中止\n[醫] 流產, 小產; 頓挫"
abortionist,ә'bɒ:ʃәnist,n. 為人墮胎者\n[醫] 墮胎者
abortive,ә'bɒ:tiv,"a. 流產的, 墮胎的, 失敗的\n[醫] 流產的; 頓挫的"
abound,ә'baund,"vi. 大量存在, 富於, 充滿"
about,ә'baut,"prep. 在...周圍, 大約, 有關, 關於\nadv. 大約, 四處, 在附近, 周圍"
above,ә'bʌv,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的"
abracadabra,.æbrәkә'dæbrә,"n. 咒語, 胡言亂語"
abrade,ә'breid,"vt. 擦傷, 磨損, 磨\n[醫] 擦除, 擦破; 磨損, 磨除"
abraded,,a. 刮擦的\nv. 磨損；擦掉；擦傷（abrade的過去分詞）
Abrahamic,,亞伯拉罕（人名）
abrasion,ә'breiʒәn,"n. 磨擦, 磨損, 磨損處\n[化] 磨耗; 磨蝕"
abrasive,ә'breisiv,n. 研磨料\na. 有研磨作用的
abrasiveness,,[化] 磨損性
abreast,ә'brest,"adv. 並肩地, 並列地"
abridge,ә'bridʒ,"vt. 縮短, 刪節, 減少, 剝奪\n[法] 剝奪; 節略"
abridged,,a. 刪節的；削減的
abridgement,ә'bridʒmәnt,"n. 節本, 節略, (權利/自由的)剝奪\n[計] 節略, 縮寫"
abridgment,ә'bridʒmәnt,"n. 刪節, 刪節本, 縮短, 限制"
abroad,ә'brɒ:d,"adv. 往國外, 到室外, 到處\na. 往國外的, 在室外的, 廣泛四散的"
abrogate,'æbrәgeit,"vt. 廢除, 取消\n[經] 取消, 廢除, 不生效(的法令)"
abrogation,.æbrәu'geiʃәn,"n. 廢除, 取消\n[經] 廢除, 取消"
abrupt,ә'brʌpt,"a. 突然的, 唐突的, 陡峭的, 不連貫的"
abruptly,ә'brʌptli,"adv. 突然地, 唐突地"
abruptness,ә'brʌptnis,"n. 突然, 唐突"
ABS,,"[計] 絕對, 美國標準局"
abscess,'æbsis,n. 膿腫\nvi. 形成膿腫
abscessed,'æbsist,a. 有膿腫的
abscond,әb'skɒnd,"vi. 潛逃, 逃匿\n[經] (為躲避罪責,債務等)潛逃"
absence,'æbsәns,"n. 缺席, 缺乏, 沒有\n[醫] 失神"
absent,'æbsәnt,"a. 缺席的, 不在的, 缺乏的, 漫不經心的\nvt. 使缺席"
absentee,.æbsәn'ti:,"n. 缺席者, 不在者\n[經] 缺勤者, 缺席者, 未到工者"
absenteeism,æbsәn'ti:iz(ә)m,"n. 經常無故缺席, 曠職, 曠工, 曠課\n[經] 有計劃的怠工, 曠工"
absently,'æbsәntli,adv. 心不在焉地
absentmindedly,,adv. 茫然地；精神不集中地
absinthe,'æbsinθ,n. 艾酒
absolute,'æbsәlu:t,"a. 絕對的, 專制的, 完全的, 獨立的\nn. 絕對事物"
absolutely,'æbsәlu:tli,"adv. 完全地, 絕對地, 確確實實地"
absoluteness,'æbsәlu:tnis,"n. 絕對, 完全, 無限制"
absolution,æbsә'lu:ʃәn,"n. 免罪, 赦免, 免除\n[法] 免罰, 赦免, 免除"
absolutism,'æbsәlu:tizm,"n. 專制主義, 專制政體論, 絕對主義\n[法] 專制主義, 專制政治論, 絕對主義"
absolutist,'æbsәlu:tist,"n. 專制主義者, 專制政體者, 絕對主義者"
absolve,әb'zɒlv,"vt. 宣告...無罪, 赦免, 免除\n[經] 免償(債務), 解除"
absorb,әb'sɒ:b,"vt. 吸收, 使全神貫注, 同化, 買進, 理解, 承受, 忍受, 承擔\n[醫] 吸收"
